value,report_period_begin,region_name,report_period_end
3542,2022-01-01,Северо-Западный ФО,2022-10-01
7793,2022-01-01,Приволжский ФО,2022-10-01
113,2022-01-01,Курская область,2022-11-01
2125,2022-01-01,Челябинская область,2022-11-01
280,2022-01-01,Московская область,2022-03-01
24,2022-01-01,Республика Дагестан,2022-03-01
38,2022-01-01,Кабардино-Балкарская Респ.,2022-03-01
863,2022-01-01,Приморский край,2022-11-01
803,2022-01-01,Ставропольский край,2022-11-01
63,2022-01-01,Пензенская область,2022-03-01
13,2022-01-01,Республика Мордовия,2022-03-01
21,2022-01-01,Республика Сев. Осетия-Алания,2022-03-01
47,2022-01-01,Брянская область,2022-11-01
292,2022-01-01,Владимирская область,2022-11-01
213,2021-01-01,Тверская область,2021-12-01
8,2022-01-01,Республика Тыва,2022-03-01
433,2022-01-01,Воронежская область,2022-11-01
922,2022-01-01,Нижегородская область,2022-11-01
85,2022-01-01,Калининградская область,2022-10-01
199,2022-01-01,Тверская область,2022-10-01
9062,2022-01-01,Российская Федерация,2022-03-01
295,2022-01-01,Красноярский край,2022-03-01
154,2022-01-01,Чувашская Республика,2022-10-01
143,2022-01-01,Республика Саха (Якутия),2022-10-01
4672,2022-01-01,Южный ФО,2022-10-01
204,2022-01-01,Ямало-Ненецкий АО,2022-11-01
161,2022-01-01,Костромская область,2022-11-01
2,2022-01-01,Чукотский АО,2022-11-01
315,2022-01-01,Липецкая область,2022-10-01
200,2022-01-01,Алтайский край,2022-03-01
1908,2022-01-01,Московская область,2022-11-01
291,2022-01-01,Мурманская область,2022-11-01
230,2022-01-01,Астраханская область,2022-10-01
714,2022-01-01,Омская область,2022-10-01
282,2022-01-01,Пензенская область,2022-11-01
244,2021-01-01,Рязанская область,2021-09-01
478,2021-01-01,Саратовская область,2021-09-01
104,2021-01-01,Сахалинская область,2021-09-01
1696,2021-01-01,Свердловская область,2021-09-01
1220,2022-01-01,Сибирский ФО,2022-03-01
856,2022-01-01,Саратовская область,2022-11-01
311,2022-01-01,Смоленская область,2022-10-01
212,2022-01-01,Тамбовская область,2022-10-01
1635,2022-01-01,Уральский ФО,2022-03-01
310,2022-01-01,Северо-Кавказский ФО,2022-03-01
8756,2022-01-01,Центральный ФО,2022-10-01
981,2022-01-01,Самарская область,2022-11-01
774,2022-01-01,Пермский край,2022-11-01
736,2022-01-01,Тюменская область,2022-10-01
50,2022-01-01,Липецкая область,2022-03-01
194,2022-01-01,Ярославская область,2022-10-01
305,2022-01-01,Кабардино-Балкарская Респ.,2022-11-01
28,2022-01-01,Астраханская область,2022-03-01
12,2022-01-01,Республика Калмыкия,2022-10-01
105,2022-01-01,Псковская область,2022-11-01
268,2022-01-01,Республика Сев. Осетия-Алания,2022-11-01
62,2021-01-01,Республика Марий Эл,2021-09-01
95,2021-01-01,Республика Мордовия,2021-09-01
120,2021-01-01,Республика Сев. Осетия-Алания,2021-09-01
48,2021-01-01,Карачаево-Черкесская Респ.,2021-09-01
65,2022-01-01,Республика Марий Эл,2022-10-01
81,2022-01-01,Республика Мордовия,2022-10-01
29,2022-01-01,Республика Тыва,2022-11-01
543,2022-01-01,Удмуртская Республика,2022-11-01
28,2022-01-01,Тверская область,2022-03-01
542,2022-01-01,Алтайский край,2022-07-01
316,2022-01-01,Хабаровский край,2022-07-01
113,2022-01-01,Амурская область,2022-07-01
123,2022-01-01,Белгородская область,2022-12-01
927,2022-01-01,Республика Татарстан,2022-07-01
15,2022-01-01,Республика Тыва,2022-07-01
30,2022-01-01,Республика Марий Эл,2022-05-01
65,2022-01-01,Республика Сев. Осетия-Алания,2022-05-01
613,2022-01-01,Республика Татарстан,2022-05-01
10,2022-01-01,Республика Тыва,2022-05-01
59,2022-01-01,Республика Хакасия,2022-05-01
2391,2022-01-01,Сибирский ФО,2022-05-01
94,2022-01-01,Чувашская Республика,2022-05-01
2200,2022-01-01,Южный ФО,2022-05-01
229,2022-01-01,Ивановская область,2022-12-01
2276,2022-01-01,Российская Федерация,2022-01-01
385,2022-01-01,Приволжский ФО,2022-01-01
82,2022-01-01,Чеченская Республика,2022-12-01
502,2022-01-01,Пермский край,2022-07-01
113,2022-01-01,Забайкальский край,2022-07-01
2111,2022-01-01,г. Санкт-Петербург,2022-12-01
205,2022-01-01,Липецкая область,2022-07-01
37,2022-01-01,Магаданская область,2022-07-01
949,2022-01-01,Приморский край,2022-12-01
932,2022-01-01,Ставропольский край,2022-12-01
103,2022-01-01,Новгородская  область,2022-07-01
237,2022-01-01,Новосибирская область,2022-07-01
545,2022-01-01,Оренбургская область,2022-12-01
