value,report_period_begin,region_name,report_period_end
71,2020-01-01,Астраханская область,2020-04-01
74,2020-01-01,Амурская область,2020-04-01
92,2020-01-01,Ивановская область,2020-04-01
32,2020-01-01,Калининградская область,2020-04-01
32,2020-01-01,Тверская область,2020-04-01
747,2014-01-01,Приморский край,2014-11-01
532,2014-01-01,Ставропольский край,2014-11-01
42,2020-01-01,Белгородская область,2020-04-01
11,2020-01-01,Брянская область,2020-04-01
29,2020-01-01,Владимирская область,2020-04-01
161,2020-01-01,Волгоградская область,2020-04-01
73,2020-01-01,Вологодская область,2020-04-01
74,2020-01-01,Воронежская область,2020-04-01
230,2020-01-01,Нижегородская область,2020-04-01
281,2020-01-01,Краснодарский край,2020-04-01
290,2020-01-01,Приморский край,2020-04-01
270,2020-01-01,Ставропольский край,2020-04-01
122,2020-01-01,Хабаровский край,2020-04-01
1222,2014-01-01,Республика Крым,2014-11-01
12,2014-01-01,Ненецкий АО,2014-11-01
1040,2014-01-01,Ханты-Мансийский АО,2014-11-01
201,2014-01-01,Архангельская область,2014-11-01
467,2014-01-01,Ямало-Ненецкий АО,2014-11-01
523,2014-01-01,Хабаровский край,2014-11-01
86,2014-01-01,г. Севастополь,2014-11-01
1185,2014-01-01,Кемеровская область-Кузбасс,2014-11-01
172,2014-01-01,Амурская область,2014-11-01
999,2014-01-01,Тюменская область,2014-11-01
1174,2014-01-01,Алтайский край,2014-11-01
925,2014-01-01,Краснодарский край,2014-11-01
280,2014-01-01,Тверская область,2014-11-01
301,2014-01-01,Калужская область,2014-11-01
223,2014-01-01,Брянская область,2014-11-01
351,2014-01-01,Владимирская область,2014-11-01
497,2014-01-01,Волгоградская область,2014-11-01
1609,2014-01-01,Нижегородская область,2014-11-01
327,2014-01-01,Вологодская область,2014-11-01
470,2014-01-01,Воронежская область,2014-11-01
355,2014-01-01,Астраханская область,2014-11-01
101,2014-01-01,Белгородская область,2014-11-01
1543,2014-01-01,Самарская область,2014-11-01
610,2014-01-01,Курганская область,2014-11-01
413,2014-01-01,Ивановская область,2014-11-01
405,2014-01-01,Калининградская область,2014-11-01
505,2014-01-01,Мурманская область,2014-11-01
144,2014-01-01,Новгородская  область,2014-11-01
1951,2014-01-01,Новосибирская область,2014-11-01
490,2014-01-01,Кировская область,2014-11-01
128,2014-01-01,Костромская область,2014-11-01
569,2014-01-01,Ленинградская область,2014-11-01
196,2014-01-01,Липецкая область,2014-11-01
3736,2014-01-01,Московская область,2014-11-01
217,2014-01-01,Тамбовская область,2014-11-01
163,2014-01-01,Магаданская область,2014-11-01
6077,2014-01-01,г. Москва,2014-11-01
65,2014-01-01,Курская область,2014-11-01
5286,2014-01-01,г. Санкт-Петербург,2014-11-01
163,2014-01-01,Псковская область,2014-11-01
1090,2014-01-01,Ростовская область,2014-11-01
681,2014-01-01,Томская область,2014-11-01
439,2014-01-01,Тульская область,2014-11-01
1077,2014-01-01,Омская область,2014-11-01
649,2014-01-01,Оренбургская область,2014-11-01
101,2014-01-01,Орловская область,2014-11-01
550,2014-01-01,Пензенская область,2014-11-01
2868,2014-01-01,Свердловская область,2014-11-01
342,2014-01-01,Смоленская область,2014-11-01
262,2014-01-01,Республика Карелия,2014-11-01
28,2014-01-01,Республика Алтай,2014-11-01
23,2014-01-01,Республика Калмыкия,2014-11-01
239,2014-01-01,Рязанская область,2014-11-01
688,2014-01-01,Саратовская область,2014-11-01
256,2014-01-01,Сахалинская область,2014-11-01
1172,2014-01-01,Республика Башкортостан,2014-11-01
105,2014-01-01,Республика Бурятия,2014-11-01
335,2014-01-01,Ульяновская область,2014-11-01
36,2014-01-01,Республика Ингушетия,2014-11-01
1992,2014-01-01,Челябинская область,2014-11-01
9,2014-01-01,Чукотский АО,2014-11-01
382,2014-01-01,Ярославская область,2014-11-01
33,2014-01-01,Республика Адыгея,2014-11-01
28,2014-01-01,Еврейская АО,2014-11-01
60549,2014-01-01,Российская Федерация,2014-11-01
221,2014-01-01,Республика Марий Эл,2014-11-01
154,2014-01-01,Республика Мордовия,2014-11-01
493,2014-01-01,Республика Коми,2014-11-01
355,2014-01-01,Республика Дагестан,2014-11-01
115,2014-01-01,Кабардино-Балкарская Респ.,2014-11-01
140,2014-01-01,Республика Саха (Якутия),2014-11-01
117,2014-01-01,Чеченская Республика,2014-11-01
219,2014-01-01,Чувашская Республика,2014-11-01
84,2014-01-01,Республика Сев. Осетия-Алания,2014-11-01
31,2014-01-01,Карачаево-Черкесская Респ.,2014-11-01
1436,2014-01-01,Республика Татарстан,2014-11-01
71,2014-01-01,Республика Тыва,2014-11-01
882,2014-01-01,Удмуртская Республика,2014-11-01
77,2014-01-01,Республика Хакасия,2014-11-01
820,2014-01-01,Иркутская область,2014-11-01
93,2014-01-01,Камчатский край,2014-11-01
2042,2014-01-01,Красноярский край,2014-11-01
1378,2014-01-01,Алтайский край,2014-12-01
1323,2014-01-01,Пермский край,2014-11-01
151,2014-01-01,Забайкальский край,2014-11-01
531,2014-01-01,Ямало-Ненецкий АО,2014-12-01
1308,2014-01-01,Крымский ФО,2014-11-01
101,2014-01-01,г. Севастополь,2014-12-01
2131,2014-01-01,Дальневосточный ФО,2014-11-01
424,2014-01-01,Астраханская область,2014-12-01
377,2014-01-01,Вологодская область,2014-12-01
11271,2014-01-01,Приволжский ФО,2014-11-01
1270,2014-01-01,Северо-Кавказский ФО,2014-11-01
1733,2014-01-01,Самарская область,2014-12-01
1252,2014-01-01,Ханты-Мансийский АО,2014-12-01
444,2014-01-01,Калининградская область,2014-12-01
1126,2014-01-01,Тюменская область,2014-12-01
2923,2014-01-01,Южный ФО,2014-11-01
567,2014-01-01,Волгоградская область,2014-12-01
7976,2014-01-01,Уральский ФО,2014-11-01
14,2014-01-01,Ненецкий АО,2014-12-01
482,2014-01-01,Ивановская область,2014-12-01
14061,2014-01-01,Центральный ФО,2014-11-01
626,2014-01-01,Кировская область,2014-12-01
9362,2014-01-01,Сибирский ФО,2014-11-01
169,2014-01-01,Костромская область,2014-12-01
243,2014-01-01,Архангельская область,2014-12-01
937,2014-01-01,Приморский край,2014-12-01
424,2014-01-01,Владимирская область,2014-12-01
8367,2014-01-01,Северо-Западный ФО,2014-11-01
1313,2014-01-01,Республика Крым,2014-12-01
183,2014-01-01,Амурская область,2014-12-01
322,2014-01-01,Тверская область,2014-12-01
190,2014-01-01,Новгородская  область,2014-12-01
632,2014-01-01,Ленинградская область,2014-12-01
1201,2014-01-01,Омская область,2014-12-01
1265,2014-01-01,Ростовская область,2014-12-01
645,2014-01-01,Пензенская область,2014-12-01
594,2014-01-01,Мурманская область,2014-12-01
670,2014-01-01,Курганская область,2014-12-01
163,2014-01-01,Орловская область,2014-12-01
1086,2014-01-01,Краснодарский край,2014-12-01
6155,2014-01-01,г. Санкт-Петербург,2014-12-01
1335,2014-01-01,Кемеровская область-Кузбасс,2014-12-01
566,2014-01-01,Хабаровский край,2014-12-01
264,2014-01-01,Брянская область,2014-12-01
757,2014-01-01,Саратовская область,2014-12-01
1824,2014-01-01,Нижегородская область,2014-12-01
4299,2014-01-01,Московская область,2014-12-01
239,2014-01-01,Липецкая область,2014-12-01
757,2014-01-01,Оренбургская область,2014-12-01
124,2014-01-01,Белгородская область,2014-12-01
250,2014-01-01,Рязанская область,2014-12-01
379,2014-01-01,Калужская область,2014-12-01
584,2014-01-01,Ставропольский край,2014-12-01
587,2014-01-01,Воронежская область,2014-12-01
777,2014-01-01,Томская область,2014-12-01
1361,2014-01-01,Республика Башкортостан,2014-12-01
7264,2014-01-01,г. Москва,2014-12-01
25,2014-01-01,Республика Калмыкия,2014-12-01
40,2014-01-01,Республика Ингушетия,2014-12-01
125,2014-01-01,Кабардино-Балкарская Респ.,2014-12-01
3221,2014-01-01,Свердловская область,2014-12-01
322,2014-01-01,Республика Карелия,2014-12-01
254,2014-01-01,Тамбовская область,2014-12-01
35,2014-01-01,Республика Адыгея,2014-12-01
35,2014-01-01,Республика Алтай,2014-12-01
405,2014-01-01,Смоленская область,2014-12-01
11,2014-01-01,Чукотский АО,2014-12-01
399,2014-01-01,Республика Дагестан,2014-12-01
429,2014-01-01,Ульяновская область,2014-12-01
281,2014-01-01,Сахалинская область,2014-12-01
114,2014-01-01,Республика Бурятия,2014-12-01
503,2014-01-01,Тульская область,2014-12-01
2166,2014-01-01,Новосибирская область,2014-12-01
179,2014-01-01,Псковская область,2014-12-01
95,2014-01-01,Курская область,2014-12-01
2315,2014-01-01,Челябинская область,2014-12-01
212,2014-01-01,Республика Мордовия,2014-12-01
552,2014-01-01,Республика Коми,2014-12-01
97,2014-01-01,Республика Хакасия,2014-12-01
1652,2014-01-01,Республика Татарстан,2014-12-01
69947,2014-01-01,Российская Федерация,2014-12-01
195,2014-01-01,Магаданская область,2014-12-01
461,2014-01-01,Ярославская область,2014-12-01
256,2014-01-01,Чувашская Республика,2014-12-01
966,2014-01-01,Удмуртская Республика,2014-12-01
43,2014-01-01,Карачаево-Черкесская Респ.,2014-12-01
34,2014-01-01,Еврейская АО,2014-12-01
131,2014-01-01,Чеченская Республика,2014-12-01
270,2014-01-01,Республика Марий Эл,2014-12-01
99,2014-01-01,Республика Тыва,2014-12-01
107,2014-01-01,Республика Сев. Осетия-Алания,2014-12-01
153,2014-01-01,Республика Саха (Якутия),2014-12-01
114,2014-01-01,Камчатский край,2014-12-01
163,2014-01-01,Забайкальский край,2014-12-01
914,2014-01-01,Иркутская область,2014-12-01
1503,2014-01-01,Пермский край,2014-12-01
2271,2014-01-01,Красноярский край,2014-12-01
278,2009-01-01,Ямало-Ненецкий АО,2009-12-01
355,2009-01-01,Краснодарский край,2009-12-01
196,2009-01-01,Астраханская область,2009-12-01
1550,2009-01-01,Ханты-Мансийский АО,2009-12-01
67,2009-01-01,Курская область,2009-12-01
2694,2009-01-01,Московская область,2009-12-01
34,2009-01-01,Белгородская область,2009-12-01
306,2009-01-01,Хабаровский край,2009-12-01
74,2009-01-01,Орловская область,2009-12-01
569,2009-01-01,Владимирская область,2009-12-01
794,2009-01-01,Тюменская область,2009-12-01
365,2009-01-01,Вологодская область,2009-12-01
929,2009-01-01,Нижегородская область,2009-12-01
625,2009-01-01,Алтайский край,2009-12-01
1,2009-01-01,Ненецкий АО,2009-12-01
201,2009-01-01,Воронежская область,2009-12-01
376,2009-01-01,Ставропольский край,2009-12-01
188,2009-01-01,Брянская область,2009-12-01
135,2009-01-01,Архангельская область,2009-12-01
137,2009-01-01,Амурская область,2009-12-01
136,2009-01-01,Калужская область,2009-12-01
644,2009-01-01,Волгоградская область,2009-12-01
44826,2009-01-01,Российская Федерация,2009-12-01
284,2009-01-01,Приморский край,2009-12-01
637,2009-01-01,Ульяновская область,2009-12-01
65,2009-01-01,Кировская область,2009-12-01
351,2009-01-01,Ленинградская область,2009-12-01
109,2009-01-01,Новгородская  область,2009-12-01
372,2009-01-01,Ивановская область,2009-12-01
3513,2009-01-01,Самарская область,2009-12-01
228,2009-01-01,Республика Карелия,2009-12-01
1604,2009-01-01,Свердловская область,2009-12-01
140,2009-01-01,Магаданская область,2009-12-01
384,2009-01-01,Тверская область,2009-12-01
1287,2009-01-01,г. Санкт-Петербург,2009-12-01
704,2009-01-01,Омская область,2009-12-01
21,2009-01-01,Республика Адыгея,2009-12-01
36,2009-01-01,Республика Калмыкия,2009-12-01
124,2009-01-01,Сахалинская область,2009-12-01
336,2009-01-01,Мурманская область,2009-12-01
173,2009-01-01,Калининградская область,2009-12-01
112,2009-01-01,Костромская область,2009-12-01
147,2009-01-01,Пензенская область,2009-12-01
122,2009-01-01,Липецкая область,2009-12-01
1130,2009-01-01,Новосибирская область,2009-12-01
494,2009-01-01,Курганская область,2009-12-01
4278,2009-01-01,г. Москва,2009-12-01
859,2009-01-01,Республика Башкортостан,2009-12-01
627,2009-01-01,Оренбургская область,2009-12-01
241,2009-01-01,Республика Коми,2009-12-01
1378,2009-01-01,Челябинская область,2009-12-01
327,2009-01-01,Ярославская область,2009-12-01
44,2009-01-01,Карачаево-Черкесская Респ.,2009-12-01
2464,2009-01-01,Красноярский край,2009-12-01
437,2009-01-01,Республика Дагестан,2009-12-01
10,2009-01-01,Республика Алтай,2009-12-01
97,2009-01-01,Чувашская Республика,2009-12-01
880,2009-01-01,Ростовская область,2009-12-01
215,2009-01-01,Тамбовская область,2009-12-01
715,2009-01-01,Саратовская область,2009-12-01
471,2009-01-01,Кемеровская область-Кузбасс,2009-12-01
538,2009-01-01,Тульская область,2009-12-01
188,2009-01-01,Забайкальский край,2009-12-01
128,2009-01-01,Республика Ингушетия,2009-12-01
111,2009-01-01,Республика Бурятия,2009-12-01
1000,2009-01-01,Пермский край,2009-12-01
107,2009-01-01,Республика Сев. Осетия-Алания,2009-12-01
229,2009-01-01,Псковская область,2009-12-01
14,2009-01-01,Чукотский АО,2009-12-01
339,2009-01-01,Чеченская Республика,2009-12-01
315,2009-01-01,Смоленская область,2009-12-01
110,2009-01-01,Кабардино-Балкарская Респ.,2009-12-01
1583,2009-01-01,Республика Татарстан,2009-12-01
93,2009-01-01,Рязанская область,2009-12-01
107,2009-01-01,Республика Саха (Якутия),2009-12-01
306,2009-01-01,Томская область,2009-12-01
516,2009-01-01,Удмуртская Республика,2009-12-01
29,2009-01-01,Республика Мордовия,2009-12-01
47,2009-01-01,Еврейская АО,2009-12-01
108,2009-01-01,Республика Хакасия,2009-12-01
57,2009-01-01,Камчатский край,2009-12-01
158,2009-01-01,Республика Марий Эл,2009-12-01
574,2009-01-01,Иркутская область,2009-12-01
10719,2009-01-01,Центральный ФО,2009-12-01
88,2009-01-01,Республика Тыва,2009-12-01
6098,2009-01-01,Уральский ФО,2009-12-01
10875,2009-01-01,Приволжский ФО,2009-12-01
6779,2009-01-01,Сибирский ФО,2009-12-01
3455,2009-01-01,Северо-Западный ФО,2009-12-01
9,2010-01-01,Курганская область,2010-01-01
11,2010-01-01,Пензенская область,2010-01-01
5,2010-01-01,Липецкая область,2010-01-01
14,2010-01-01,Краснодарский край,2010-01-01
27,2010-01-01,Хабаровский край,2010-01-01
20,2010-01-01,Тверская область,2010-01-01
36,2010-01-01,Кемеровская область-Кузбасс,2010-01-01
44,2010-01-01,Омская область,2010-01-01
15,2010-01-01,Брянская область,2010-01-01
7,2010-01-01,Архангельская область,2010-01-01
2,2010-01-01,Новгородская  область,2010-01-01
2,2010-01-01,Курская область,2010-01-01
6,2010-01-01,Воронежская область,2010-01-01
17,2010-01-01,Приморский край,2010-01-01
13,2010-01-01,Амурская область,2010-01-01
14,2010-01-01,Псковская область,2010-01-01
0,2010-01-01,Ненецкий АО,2010-01-01
10,2010-01-01,Магаданская область,2010-01-01
19,2010-01-01,Республика Коми,2010-01-01
4,2010-01-01,Кировская область,2010-01-01
56,2010-01-01,Тюменская область,2010-01-01
11,2010-01-01,Оренбургская область,2010-01-01
30,2010-01-01,Владимирская область,2010-01-01
68,2010-01-01,Нижегородская область,2010-01-01
251,2010-01-01,г. Москва,2010-01-01
69,2010-01-01,Ханты-Мансийский АО,2010-01-01
1541,2009-01-01,Северо-Кавказский ФО,2009-12-01
9,2010-01-01,Костромская область,2010-01-01
1,2010-01-01,Орловская область,2010-01-01
43,2010-01-01,Волгоградская область,2010-01-01
128,2010-01-01,г. Санкт-Петербург,2010-01-01
2715,2010-01-01,Российская Федерация,2010-01-01
15,2010-01-01,Ивановская область,2010-01-01
13,2010-01-01,Астраханская область,2010-01-01
11,2010-01-01,Ямало-Ненецкий АО,2010-01-01
136,2010-01-01,Московская область,2010-01-01
39,2010-01-01,Ставропольский край,2010-01-01
172,2010-01-01,Самарская область,2010-01-01
43,2010-01-01,Алтайский край,2010-01-01
9,2010-01-01,Калужская область,2010-01-01
32,2010-01-01,Ростовская область,2010-01-01
20,2010-01-01,Ленинградская область,2010-01-01
12,2010-01-01,Калининградская область,2010-01-01
65,2010-01-01,Новосибирская область,2010-01-01
1216,2009-01-01,Дальневосточный ФО,2009-12-01
28,2010-01-01,Мурманская область,2010-01-01
6,2010-01-01,Белгородская область,2010-01-01
19,2010-01-01,Вологодская область,2010-01-01
2132,2009-01-01,Южный ФО,2009-12-01
4,2010-01-01,Рязанская область,2010-01-01
3,2010-01-01,Республика Адыгея,2010-01-01
142,2010-01-01,Нижегородская область,2010-02-01
9,2010-01-01,Республика Сев. Осетия-Алания,2010-01-01
4,2010-01-01,Камчатский край,2010-01-01
4,2010-01-01,Республика Хакасия,2010-01-01
10,2010-01-01,Тамбовская область,2010-01-01
1,2010-01-01,Республика Алтай,2010-01-01
0,2010-01-01,Еврейская АО,2010-01-01
37,2010-01-01,Республика Ингушетия,2010-01-01
36,2010-01-01,Саратовская область,2010-01-01
51,2010-01-01,Республика Башкортостан,2010-01-01
126,2010-01-01,Алтайский край,2010-02-01
5,2010-01-01,Карачаево-Черкесская Респ.,2010-01-01
36,2010-01-01,Ивановская область,2010-02-01
106,2010-01-01,Пермский край,2010-01-01
6,2010-01-01,Чеченская Республика,2010-01-01
2,2010-01-01,Республика Калмыкия,2010-01-01
87,2010-01-01,Челябинская область,2010-01-01
3,2010-01-01,Сахалинская область,2010-01-01
6,2010-01-01,Республика Бурятия,2010-01-01
27,2010-01-01,Томская область,2010-01-01
17,2010-01-01,Тульская область,2010-01-01
85,2010-01-01,Республика Татарстан,2010-01-01
11,2010-01-01,Забайкальский край,2010-01-01
9,2010-01-01,Республика Карелия,2010-01-01
5,2010-01-01,Республика Марий Эл,2010-01-01
220,2010-01-01,Красноярский край,2010-01-01
2,2010-01-01,Чукотский АО,2010-01-01
109,2010-01-01,Свердловская область,2010-01-01
1,2010-01-01,Республика Тыва,2010-01-01
40,2010-01-01,Республика Дагестан,2010-01-01
5,2010-01-01,Чувашская Республика,2010-01-01
586,2010-01-01,Центральный ФО,2010-01-01
103,2010-01-01,Тюменская область,2010-02-01
4,2010-01-01,Республика Мордовия,2010-01-01
31,2010-01-01,Ярославская область,2010-01-01
23,2010-01-01,Воронежская область,2010-02-01
33,2010-01-01,Иркутская область,2010-01-01
19,2010-01-01,Смоленская область,2010-01-01
3,2010-01-01,Кабардино-Балкарская Респ.,2010-01-01
4,2010-01-01,Республика Саха (Якутия),2010-01-01
32,2010-01-01,Удмуртская Республика,2010-01-01
258,2010-01-01,Северо-Западный ФО,2010-01-01
6109,2010-01-01,Российская Федерация,2010-02-01
26,2010-01-01,Ульяновская область,2010-01-01
14,2010-01-01,Архангельская область,2010-02-01
308,2010-01-01,Московская область,2010-02-01
80,2010-01-01,Дальневосточный ФО,2010-01-01
50,2010-01-01,Вологодская область,2010-02-01
26,2010-01-01,Тамбовская область,2010-02-01
69,2010-01-01,Хабаровский край,2010-02-01
0,2010-01-01,Ненецкий АО,2010-02-01
21,2010-01-01,Калужская область,2010-02-01
5,2010-01-01,Белгородская область,2010-02-01
112,2010-01-01,Саратовская область,2010-02-01
51,2010-01-01,Мурманская область,2010-02-01
139,2010-01-01,Северо-Кавказский ФО,2010-01-01
139,2010-01-01,Ханты-Мансийский АО,2010-02-01
65,2010-01-01,Республика Дагестан,2010-02-01
18,2010-01-01,Чувашская Республика,2010-02-01
58,2010-01-01,Томская область,2010-02-01
25,2010-01-01,Республика Карелия,2010-02-01
21,2010-01-01,Амурская область,2010-02-01
27,2010-01-01,Брянская область,2010-02-01
12,2010-01-01,Липецкая область,2010-02-01
15,2010-01-01,Калининградская область,2010-02-01
10,2010-01-01,Сахалинская область,2010-02-01
107,2010-01-01,Южный ФО,2010-01-01
11,2010-01-01,Кабардино-Балкарская Респ.,2010-02-01
341,2010-01-01,Уральский ФО,2010-01-01
36,2010-01-01,Ямало-Ненецкий АО,2010-02-01
18,2010-01-01,Республика Саха (Якутия),2010-02-01
14,2010-01-01,Магаданская область,2010-02-01
44,2010-01-01,Приморский край,2010-02-01
75,2010-01-01,Владимирская область,2010-02-01
226,2010-01-01,Свердловская область,2010-02-01
87,2010-01-01,Кемеровская область-Кузбасс,2010-02-01
1,2010-01-01,Республика Алтай,2010-02-01
1,2010-01-01,Еврейская АО,2010-02-01
491,2010-01-01,Сибирский ФО,2010-01-01
98,2010-01-01,Волгоградская область,2010-02-01
523,2010-01-01,г. Москва,2010-02-01
73,2010-01-01,Ставропольский край,2010-02-01
50,2010-01-01,Тверская область,2010-02-01
46,2010-01-01,Смоленская область,2010-02-01
50,2010-01-01,Астраханская область,2010-02-01
3,2010-01-01,Республика Калмыкия,2010-02-01
33,2010-01-01,Псковская область,2010-02-01
91,2010-01-01,Ульяновская область,2010-02-01
6,2010-01-01,Республика Мордовия,2010-02-01
6,2010-01-01,Кировская область,2010-02-01
4,2010-01-01,Республика Адыгея,2010-02-01
79,2010-01-01,Удмуртская Республика,2010-02-01
258,2010-01-01,г. Санкт-Петербург,2010-02-01
540,2010-01-01,Северо-Западный ФО,2010-02-01
36,2010-01-01,Оренбургская область,2010-02-01
100,2010-01-01,Ростовская область,2010-02-01
70,2010-01-01,Иркутская область,2010-02-01
40,2010-01-01,Республика Ингушетия,2010-02-01
21,2010-01-01,Республика Сев. Осетия-Алания,2010-02-01
138,2010-01-01,Республика Башкортостан,2010-02-01
29,2010-01-01,Костромская область,2010-02-01
7,2010-01-01,Республика Хакасия,2010-02-01
49,2010-01-01,Ленинградская область,2010-02-01
208,2010-01-01,Ханты-Мансийский АО,2010-03-01
616,2010-01-01,Приволжский ФО,2010-01-01
48,2010-01-01,Краснодарский край,2010-02-01
12,2010-01-01,Орловская область,2010-02-01
8,2010-01-01,Рязанская область,2010-02-01
194,2010-01-01,Челябинская область,2010-02-01
11,2010-01-01,Новгородская  область,2010-02-01
8,2010-01-01,Карачаево-Черкесская Респ.,2010-02-01
418,2010-01-01,Самарская область,2010-02-01
9,2010-01-01,Республика Бурятия,2010-02-01
23,2010-01-01,Чеченская Республика,2010-02-01
68,2010-01-01,Тульская область,2010-02-01
34,2010-01-01,Республика Коми,2010-02-01
24,2010-01-01,Пензенская область,2010-02-01
411,2010-01-01,Красноярский край,2010-02-01
1,2010-01-01,Чукотский АО,2010-02-01
221,2010-01-01,Республика Татарстан,2010-02-01
166,2010-01-01,Новосибирская область,2010-02-01
46,2010-01-01,Курганская область,2010-02-01
46,2010-01-01,Ямало-Ненецкий АО,2010-03-01
15,2010-01-01,Республика Марий Эл,2010-02-01
52,2010-01-01,Ярославская область,2010-02-01
0,2010-01-01,Ненецкий АО,2010-03-01
1325,2010-01-01,Центральный ФО,2010-02-01
93,2010-01-01,Омская область,2010-02-01
4,2010-01-01,Республика Тыва,2010-02-01
4,2010-01-01,Курская область,2010-02-01
144,2010-01-01,Тюменская область,2010-03-01
7,2010-01-01,Белгородская область,2010-03-01
88,2010-01-01,Ленинградская область,2010-03-01
1064,2010-01-01,Сибирский ФО,2010-02-01
16,2010-01-01,Орловская область,2010-03-01
32,2010-01-01,Амурская область,2010-03-01
752,2010-01-01,г. Москва,2010-03-01
39,2010-01-01,Воронежская область,2010-03-01
80,2010-01-01,Курганская область,2010-03-01
36,2010-01-01,Калининградская область,2010-03-01
138,2010-01-01,Омская область,2010-03-01
9168,2010-01-01,Российская Федерация,2010-03-01
42,2010-01-01,Брянская область,2010-03-01
182,2010-01-01,Дальневосточный ФО,2010-02-01
130,2010-01-01,Кемеровская область-Кузбасс,2010-03-01
7,2010-01-01,Курская область,2010-03-01
78,2010-01-01,Тверская область,2010-03-01
4,2010-01-01,Камчатский край,2010-02-01
98,2010-01-01,Ставропольский край,2010-03-01
19,2010-01-01,Липецкая область,2010-03-01
241,2010-01-01,Северо-Кавказский ФО,2010-02-01
204,2010-01-01,Нижегородская область,2010-03-01
50,2010-01-01,Псковская область,2010-03-01
1483,2010-01-01,Приволжский ФО,2010-02-01
67,2010-01-01,Астраханская область,2010-03-01
177,2010-01-01,Пермский край,2010-02-01
86,2010-01-01,Оренбургская область,2010-03-01
21,2010-01-01,Магаданская область,2010-03-01
303,2010-01-01,Южный ФО,2010-02-01
95,2010-01-01,Хабаровский край,2010-03-01
24,2010-01-01,Архангельская область,2010-03-01
744,2010-01-01,Уральский ФО,2010-02-01
81,2010-01-01,Ивановская область,2010-03-01
355,2010-01-01,г. Санкт-Петербург,2010-03-01
33,2010-01-01,Пензенская область,2010-03-01
32,2010-01-01,Калужская область,2010-03-01
32,2010-01-01,Забайкальский край,2010-02-01
81,2010-01-01,Республика Дагестан,2010-03-01
184,2010-01-01,Саратовская область,2010-03-01
149,2010-01-01,Волгоградская область,2010-03-01
37,2010-01-01,Костромская область,2010-03-01
131,2010-01-01,Ульяновская область,2010-03-01
5,2010-01-01,Республика Калмыкия,2010-03-01
3,2010-01-01,Чукотский АО,2010-03-01
29,2010-01-01,Новгородская  область,2010-03-01
40,2010-01-01,Чеченская Республика,2010-03-01
82,2010-01-01,Краснодарский край,2010-03-01
75,2010-01-01,Томская область,2010-03-01
4,2010-01-01,Еврейская АО,2010-03-01
12,2010-01-01,Республика Тыва,2010-03-01
20,2010-01-01,Сахалинская область,2010-03-01
575,2010-01-01,Самарская область,2010-03-01
36,2010-01-01,Республика Карелия,2010-03-01
94,2010-01-01,Ярославская область,2010-03-01
81,2010-01-01,Приморский край,2010-03-01
165,2010-01-01,Ростовская область,2010-03-01
84,2010-01-01,Вологодская область,2010-03-01
20,2010-01-01,Кабардино-Балкарская Респ.,2010-03-01
43,2010-01-01,Республика Ингушетия,2010-03-01
518,2010-01-01,Московская область,2010-03-01
125,2010-01-01,Удмуртская Республика,2010-03-01
240,2010-01-01,Новосибирская область,2010-03-01
107,2010-01-01,Тульская область,2010-03-01
27,2010-01-01,Чувашская Республика,2010-03-01
13,2010-01-01,Кировская область,2010-03-01
16,2010-01-01,Карачаево-Черкесская Респ.,2010-03-01
2,2010-01-01,Республика Алтай,2010-03-01
12,2010-01-01,Рязанская область,2010-03-01
294,2010-01-01,Челябинская область,2010-03-01
62,2010-01-01,Республика Коми,2010-03-01
183,2010-01-01,Алтайский край,2010-03-01
112,2010-01-01,Владимирская область,2010-03-01
21,2010-01-01,Республика Бурятия,2010-03-01
29,2010-01-01,Республика Саха (Якутия),2010-03-01
70,2010-01-01,Мурманская область,2010-03-01
294,2010-01-01,Республика Татарстан,2010-03-01
28,2010-01-01,Республика Хакасия,2010-03-01
23,2010-01-01,Республика Марий Эл,2010-03-01
54,2010-01-01,Тамбовская область,2010-03-01
5,2010-01-01,Камчатский край,2010-03-01
202,2010-01-01,Республика Башкортостан,2010-03-01
232,2010-01-01,Пермский край,2010-03-01
2077,2010-01-01,Центральный ФО,2010-03-01
530,2010-01-01,Красноярский край,2010-03-01
834,2010-01-01,Северо-Западный ФО,2010-03-01
42,2010-01-01,Забайкальский край,2010-03-01
23,2010-01-01,Республика Сев. Осетия-Алания,2010-03-01
390,2010-01-01,Свердловская область,2010-03-01
5,2010-01-01,Республика Адыгея,2010-03-01
135,2010-01-01,Иркутская область,2010-03-01
70,2010-01-01,Смоленская область,2010-03-01
124,2010-01-01,Вологодская область,2010-04-01
1536,2010-01-01,Сибирский ФО,2010-03-01
9,2010-01-01,Республика Мордовия,2010-04-01
768,2010-01-01,Самарская область,2010-04-01
34,2010-01-01,Липецкая область,2010-04-01
212,2010-01-01,Иркутская область,2010-04-01
38,2010-01-01,Пензенская область,2010-04-01
109,2010-01-01,Тверская область,2010-04-01
45,2010-01-01,Республика Ингушетия,2010-04-01
10,2010-01-01,Белгородская область,2010-04-01
34,2010-01-01,Архангельская область,2010-04-01
30,2010-01-01,Республика Сев. Осетия-Алания,2010-04-01
122,2010-01-01,Курганская область,2010-04-01
53,2010-01-01,Воронежская область,2010-04-01
111,2010-01-01,Краснодарский край,2010-04-01
69,2010-01-01,Псковская область,2010-04-01
29,2010-01-01,Магаданская область,2010-04-01
44,2010-01-01,Калужская область,2010-04-01
1,2010-01-01,Ненецкий АО,2010-04-01
